battery_percent,battery_voltage,flight_mode,landed_state,heading,altitude,latitude,longitude,timestamp,elapsed_seconds,elapsed_minutes,easting,northing
55.000001190000006,22.05700111,stabilized,in_air,-177.3059845,16.0720005,40.6333896,-8.6604046,1596200571768,57.705,0.96175,-9.669777705954665,33.126418751148364
55.000001190000006,22.05700111,stabilized,in_air,-177.2093201,16.09000015,40.6333865,-8.6604056,1596200571969,57.906,0.9651,-9.788639045664512,32.874157547984325
55.000001190000006,22.05700111,stabilized,in_air,-177.1217346,16.11200142,40.6333835,-8.6604065,1596200572170,58.107,0.9684499999999999,-9.898512836047756,32.63296453928909
55.000001190000006,22.05700111,stabilized,in_air,-177.0093384,16.14100075,40.6333805,-8.6604076,1596200572372,58.309000000000005,0.9718166666666668,-10.025906179125284,32.39629439862711
55.000001190000006,22.05700111,stabilized,in_air,-176.9957581,16.17100143,40.6333778,-8.6604085,1596200572573,58.51,0.9751666666666666,-10.133468106791057,32.18578146001883
55.000001190000006,22.0530014,stabilized,in_air,-176.9508209,16.20300102,40.6333748,-8.6604095,1596200572774,58.711,0.9785166666666666,-10.252831511248983,31.951021598010808
55.000001190000006,22.0530014,stabilized,in_air,-176.7744598,16.24500084,40.6333719,-8.6604103,1596200572975,58.912,0.9818666666666667,-10.355514106101767,31.731164803108594
55.000001190000006,22.0530014,stabilized,in_air,-176.7065887,16.29000092,40.6333693,-8.6604111,1596200573176,59.113,0.9852166666666666,-10.45532346345647,31.53877925675173
55.000001190000006,22.0530014,stabilized,in_air,-176.5696869,16.34000015,40.6333669,-8.6604119,1596200573378,59.315,0.9885833333333333,-10.553554093805072,31.366632846653147
55.000001190000006,22.0530014,stabilized,in_air,-176.512207,16.38800049,40.6333646,-8.6604128,1596200573579,59.516,0.9919333333333333,-10.658857078932614,31.20173403456289
55.000001190000006,22.05400085,stabilized,in_air,-176.3793182,16.4450016,40.6333622,-8.6604137,1596200573780,59.717,0.9952833333333333,-10.76624084072802,31.03409744241374
55.000001190000006,22.05400085,stabilized,in_air,-176.3230286,16.50500107,40.6333598,-8.6604146,1596200573983,59.92,0.9986666666666667,-10.873961302254411,30.868385415315977
55.000001190000006,22.05400085,stabilized,in_air,-176.346283,16.56400108,40.6333573,-8.6604157,1596200574184,60.121,1.0020166666666668,-10.99937331138232,30.69354768144844
55.000001190000006,22.05400085,stabilized,in_air,-176.2216949,16.62000084,40.6333548,-8.6604165,1596200574385,60.322,1.0053666666666667,-11.099347835518538,30.51673766273414
55.000001190000006,22.05400085,stabilized,in_air,-176.1752319,16.67300034,40.6333523,-8.6604172,1596200574587,60.524,1.0087333333333333,-11.190618594160227,30.337986341860127
55.000001190000006,22.06200027,stabilized,in_air,-176.1737366,16.72000122,40.6333497,-8.6604178,1596200574789,60.726,1.0121,-11.273918942723816,30.14685398340206
55.000001190000006,22.06200027,stabilized,in_air,-176.1912994,16.7480011,40.6333471,-8.6604183,1596200574992,60.929,1.0154833333333333,-11.346718755307748,29.943509824490956
55.000001190000006,22.06200027,stabilized,in_air,-176.2119446,16.77400017,40.6333444,-8.6604186,1596200575193,61.13,1.0188333333333333,-11.403630216968754,29.730335235164556
55.000001190000006,22.06200027,stabilized,in_air,-176.2687073,16.79500008,40.6333416,-8.6604188,1596200575394,61.331,1.0221833333333334,-11.45268349580297,29.505421140725854
55.000001190000006,22.06200027,stabilized,in_air,-176.2980804,16.80600166,40.6333389,-8.660419,1596200575596,61.533,1.02555,-11.49954398331193,29.282604501545276
55.000001190000006,22.08400154,stabilized,in_air,-176.4536743,16.81000137,40.6333363,-8.6604191,1596200575797,61.734,1.0289,-11.536181295345058,29.06379318153945
55.000001190000006,22.08400154,stabilized,in_air,-176.4502106,16.81000137,40.6333337,-8.6604191,1596200576000,61.937000000000005,1.0322833333333334,-11.564002602857233,28.842399039393754
55.000001190000006,22.08400154,stabilized,in_air,-175.4568176,16.81500053,40.633331,-8.6604192,1596200576201,62.138,1.0356333333333332,-11.60182219455164,28.615714067783177
55.000001190000006,22.08400154,stabilized,in_air,-174.3699188,16.82100105,40.6333282,-8.6604194,1596200576402,62.339,1.0389833333333334,-11.649191146700684,28.38117216729892
